case_id,int_mode,prepost_status,sample_type,trans_id,trans_contact,trans_therm,trans_military,trans_bathroom,trans_sports_pre,trans_sports_post,trans_sports_prepost,trans_discrim,gay_id,gay_contact,gay_therm,gay_adoption,gay_marriage,gay_elect,gay_discrim,resp_partyid,resp_race,resp_age,resp_edu,weight,psu,stratum,sample_mode
142441,2,2,1,2.0,1.0,50.0,3.0,1.0,3.0,,3.0,1.0,1.0,1.0,85.0,1.0,,3.0,1.0,3.0,1.0,39.0,14.0,0.229306353032852,2.0,125.0,panel_ftf_web_papi
142442,2,2,1,2.0,2.0,15.0,4.0,7.0,7.0,,7.0,5.0,1.0,1.0,40.0,3.0,4.0,3.0,4.0,7.0,1.0,74.0,12.0,0.255588296101179,2.0,125.0,panel_ftf_web_papi
142443,2,2,1,2.0,1.0,85.0,4.0,4.0,4.0,,4.0,2.0,1.0,1.0,85.0,1.0,,3.0,1.0,3.0,1.0,75.0,14.0,0.240940583879475,2.0,85.0,panel_ftf_web_papi
142444,2,2,1,2.0,2.0,50.0,4.0,4.0,4.0,,4.0,3.0,1.0,1.0,50.0,3.0,4.0,4.0,1.0,2.0,5.0,65.0,10.0,0.735112741045192,2.0,115.0,panel_ftf_web_papi
142445,2,2,1,2.0,2.0,85.0,2.0,7.0,2.0,,2.0,2.0,1.0,1.0,100.0,1.0,1.0,2.0,1.0,4.0,,28.0,16.0,0.20044818136109,2.0,128.0,panel_ftf_web_papi
142446,2,2,1,2.0,2.0,50.0,7.0,7.0,1.0,,1.0,2.0,1.0,1.0,50.0,1.0,,5.0,1.0,5.0,1.0,71.0,14.0,0.2420204799036,1.0,90.0,panel_ftf_web_papi
142447,2,2,1,2.0,1.0,30.0,2.0,7.0,1.0,,1.0,3.0,1.0,1.0,30.0,2.0,,5.0,3.0,6.0,1.0,54.0,13.0,0.425292991615519,1.0,94.0,panel_ftf_web_papi
142448,2,2,1,2.0,2.0,60.0,2.0,4.0,4.0,,4.0,2.0,1.0,2.0,70.0,1.0,1.0,3.0,1.0,2.0,1.0,36.0,14.0,0.245658392072513,1.0,115.0,panel_ftf_web_papi
142449,2,2,1,2.0,1.0,90.0,1.0,1.0,7.0,,7.0,1.0,1.0,1.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,13.0,0.572525804052969,1.0,134.0,panel_ftf_web_papi
142451,2,2,1,2.0,2.0,100.0,1.0,1.0,4.0,,4.0,1.0,1.0,1.0,100.0,1.0,1.0,2.0,1.0,1.0,1.0,55.0,13.0,0.460710100552363,1.0,134.0,panel_ftf_web_papi
